Year_of_Study,Voting_Preference,Income_Group,Income_Inequality,Income_Inequality_Change_Level,Unemployment_Past_Year,Unemployment_Past_Year_Change_Level,Unemployment_Next_Year,Thermometer_Business,Thermometer_Labor_Union,Thermometer_Middle_Class,Thermometer_Welfare,Thermometer_Poor,State_Code_FIPS,State_Code
2000,Republican,Upper Middle Income,,,,,,70.0,65.0,,70.0,75.0,27.0,MN
2000,,Middle Income,,,,,,97.0,0.0,,50.0,97.0,26.0,MI
2000,Democrat,Middle Income,,,,,,70.0,50.0,,49.0,50.0,23.0,ME
2000,Republican,Middle Income,,,,,,80.0,20.0,,10.0,70.0,25.0,MA
2000,,Upper Middle Income,,,,,,40.0,55.0,,70.0,80.0,42.0,PA
2000,Democrat,Middle Income,,,,,,48.0,70.0,,45.0,60.0,34.0,NJ
2000,Democrat,Upper Middle Income,,,,,,80.0,90.0,,60.0,60.0,36.0,NY
2000,Democrat,Middle Income,,,,,,40.0,80.0,,40.0,70.0,19.0,IA
2000,Democrat,Middle Income,,,,,,60.0,60.0,,50.0,50.0,42.0,PA
2000,,Upper Middle Income,,,,,,60.0,40.0,,50.0,60.0,42.0,PA
2000,,Low Income,,,,,,99.0,99.0,,99.0,99.0,18.0,IN
2000,Republican,Middle Income,,,,,,50.0,98.0,,50.0,98.0,26.0,MI
2000,Republican,Upper Middle Income,,,,,,90.0,55.0,,97.0,97.0,6.0,CA
2000,,Low Income,,,,,,50.0,80.0,,30.0,98.0,6.0,CA
2000,Democrat,Middle Income,,,,,,50.0,50.0,,50.0,50.0,51.0,VA
2000,,Upper Middle Income,,,,,,99.0,99.0,,99.0,99.0,51.0,VA
2000,Republican,Low Income,,,,,,50.0,40.0,,40.0,40.0,19.0,IA
2000,Republican,Upper Middle Income,,,,,,60.0,70.0,,75.0,80.0,8.0,CO
2000,Democrat,Low Income,,,,,,45.0,75.0,,75.0,97.0,6.0,CA
2000,Democrat,Upper Middle Income,,,,,,40.0,80.0,,50.0,60.0,26.0,MI
2000,Republican,Low Income,,,,,,50.0,90.0,,50.0,97.0,41.0,OR
2000,,Low Income,,,,,,99.0,99.0,,99.0,99.0,29.0,MO
2000,,Upper Middle Income,,,,,,99.0,99.0,,99.0,99.0,6.0,CA
2000,Republican,Middle Income,,,,,,80.0,80.0,,98.0,97.0,51.0,VA
2000,Democrat,Middle Income,,,,,,50.0,50.0,,50.0,75.0,12.0,FL
2000,Republican,Low Income,,,,,,75.0,25.0,,90.0,90.0,5.0,AR
2000,,Upper Middle Income,,,,,,99.0,99.0,,99.0,99.0,48.0,TX
2000,Republican,Low Income,,,,,,75.0,60.0,,75.0,75.0,21.0,KY
2000,,Middle Income,,,,,,99.0,99.0,,99.0,99.0,53.0,WA
2000,,Low Income,,,,,,95.0,50.0,,60.0,98.0,48.0,TX
2000,,Middle Income,,,,,,40.0,70.0,,40.0,99.0,12.0,FL
2000,,Low Income,,,,,,80.0,70.0,,30.0,40.0,48.0,TX
