Year_of_Study,Age,Race,Education,Income_Group,State_Code_FIPS,State_Code,Voting_Preference,Urban,birth_year
2020,38,"Asian or Pacific Islander, non-Hispanic",College or advanced degree,34 to 67 percentile,51,VA,Democrat,NA,1982
2020,64,White non-Hispanic,High school,34 to 67 percentile,41,OR,Democrat,NA,1956
2020,65,White non-Hispanic,Some college,34 to 67 percentile,51,VA,Republican,NA,1955
2020,45,Hispanic,High school,34 to 67 percentile,6,CA,Democrat,NA,1975
2020,52,White non-Hispanic,College or advanced degree,68 to 95 percentile,16,ID,Republican,NA,1968
2020,54,White non-Hispanic,College or advanced degree,DK; NA; refused to answer; no Pre IW,19,IA,Republican,NA,1966
2020,65,White non-Hispanic,High school,0 to 16 percentile,22,LA,Republican,NA,1955
2020,47,White non-Hispanic,Some college,68 to 95 percentile,31,NE,Democrat,NA,1973
2020,0,Black non-Hispanic,Grade school or less,0 to 16 percentile,36,NY,Republican,NA,2020
2020,67,White non-Hispanic,Grade school or less,34 to 67 percentile,31,NE,Democrat,NA,1953
2020,68,White non-Hispanic,Some college,68 to 95 percentile,36,NY,Republican,NA,1952
2020,46,White non-Hispanic,College or advanced degree,34 to 67 percentile,47,TN,Republican,NA,1974
2020,80,White non-Hispanic,College or advanced degree,17 to 33 percentile,51,VA,Democrat,NA,1940
2020,45,"Asian or Pacific Islander, non-Hispanic",College or advanced degree,68 to 95 percentile,4,AZ,Democrat,NA,1975
2020,25,Missing,Some college,0 to 16 percentile,6,CA,Democrat,NA,1995
2020,37,"American Indian or Alaska Native, non-Hispanic",Some college,68 to 95 percentile,25,MA,Democrat,NA,1983
2020,23,White non-Hispanic,College or advanced degree,96 to 100 percentile,25,MA,Democrat,NA,1997
2020,80,White non-Hispanic,High school,0 to 16 percentile,12,FL,Democrat,NA,1940
2020,58,Black non-Hispanic,Some college,0 to 16 percentile,37,NC,Democrat,NA,1962
2020,49,White non-Hispanic,College or advanced degree,34 to 67 percentile,34,NJ,Democrat,NA,1971
2020,69,White non-Hispanic,Some college,68 to 95 percentile,51,VA,Democrat,NA,1951
2020,53,White non-Hispanic,Some college,68 to 95 percentile,51,VA,Republican,NA,1967
2020,60,Hispanic,Some college,68 to 95 percentile,12,FL,Democrat,NA,1960
2020,58,White non-Hispanic,College or advanced degree,68 to 95 percentile,5,AR,Republican,NA,1962
2020,25,Hispanic,Some college,34 to 67 percentile,6,CA,Democrat,NA,1995
2020,25,White non-Hispanic,College or advanced degree,34 to 67 percentile,55,WI,Democrat,NA,1995
2020,31,White non-Hispanic,High school,34 to 67 percentile,36,NY,Democrat,NA,1989
2020,80,White non-Hispanic,Some college,0 to 16 percentile,31,NE,Republican,NA,1940
2020,28,White non-Hispanic,College or advanced degree,17 to 33 percentile,51,VA,Democrat,NA,1992
2020,55,White non-Hispanic,College or advanced degree,96 to 100 percentile,42,PA,Republican,NA,1965
2020,27,"Other or multiple races, non-Hispanic",Some college,34 to 67 percentile,40,OK,Republican,NA,1993
2020,37,Black non-Hispanic,Some college,34 to 67 percentile,48,TX,Democrat,NA,1983
2020,74,White non-Hispanic,College or advanced degree,68 to 95 percentile,47,TN,Republican,NA,1946
2020,76,White non-Hispanic,College or advanced degree,0 to 16 percentile,48,TX,Democrat,NA,1944
2020,70,White non-Hispanic,College or advanced degree,68 to 95 percentile,37,NC,Democrat,NA,1950
2020,50,Hispanic,Some college,34 to 67 percentile,17,IL,Republican,NA,1970
2020,49,White non-Hispanic,Grade school or less,34 to 67 percentile,21,KY,Republican,NA,1971
2020,59,White non-Hispanic,DK; NA,68 to 95 percentile,55,WI,Republican,NA,1961
2020,52,White non-Hispanic,College or advanced degree,34 to 67 percentile,25,MA,Democrat,NA,1968
2020,30,Black non-Hispanic,College or advanced degree,34 to 67 percentile,11,DC,Democrat,NA,1990
2020,65,White non-Hispanic,College or advanced degree,68 to 95 percentile,6,CA,Democrat,NA,1955
2020,57,White non-Hispanic,College or advanced degree,34 to 67 percentile,37,NC,Democrat,NA,1963
2020,19,White non-Hispanic,Some college,68 to 95 percentile,25,MA,Democrat,NA,2001
2020,52,White non-Hispanic,College or advanced degree,96 to 100 percentile,36,NY,Democrat,NA,1968
2020,40,Black non-Hispanic,Some college,17 to 33 percentile,24,MD,Democrat,NA,1980
2020,40,White non-Hispanic,Some college,34 to 67 percentile,36,NY,Democrat,NA,1980
2020,66,White non-Hispanic,Some college,0 to 16 percentile,36,NY,Republican,NA,1954
2020,73,White non-Hispanic,Some college,34 to 67 percentile,55,WI,Republican,NA,1947
2020,59,White non-Hispanic,College or advanced degree,17 to 33 percentile,55,WI,Republican,NA,1961
2020,55,White non-Hispanic,College or advanced degree,0 to 16 percentile,20,KS,Democrat,NA,1965
2020,66,White non-Hispanic,College or advanced degree,96 to 100 percentile,36,NY,Republican,NA,1954
2020,45,"Asian or Pacific Islander, non-Hispanic",College or advanced degree,34 to 67 percentile,6,CA,Democrat,NA,1975
2020,35,Black non-Hispanic,Some college,34 to 67 percentile,1,AL,Democrat,NA,1985
2020,73,White non-Hispanic,College or advanced degree,34 to 67 percentile,26,MI,Democrat,NA,1947
2020,67,White non-Hispanic,High school,17 to 33 percentile,42,PA,Democrat,NA,1953
2020,45,White non-Hispanic,College or advanced degree,0 to 16 percentile,4,AZ,Democrat,NA,1975
2020,37,"Asian or Pacific Islander, non-Hispanic",College or advanced degree,34 to 67 percentile,12,FL,Democrat,NA,1983
2020,71,White non-Hispanic,College or advanced degree,96 to 100 percentile,13,GA,Republican,NA,1949
2020,61,"American Indian or Alaska Native, non-Hispanic",Some college,96 to 100 percentile,13,GA,Democrat,NA,1959
2020,79,Black non-Hispanic,High school,0 to 16 percentile,28,MS,Democrat,NA,1941
2020,59,White non-Hispanic,College or advanced degree,34 to 67 percentile,12,FL,Democrat,NA,1961
2020,30,Hispanic,College or advanced degree,34 to 67 percentile,41,OR,Republican,NA,1990
2020,40,White non-Hispanic,Grade school or less,68 to 95 percentile,6,CA,Republican,NA,1980
2020,56,"Other or multiple races, non-Hispanic",Grade school or less,0 to 16 percentile,1,AL,Republican,NA,1964
2020,30,White non-Hispanic,College or advanced degree,68 to 95 percentile,19,IA,Democrat,NA,1990
2020,62,White non-Hispanic,Some college,34 to 67 percentile,55,WI,Republican,NA,1958
2020,66,"Other or multiple races, non-Hispanic",College or advanced degree,68 to 95 percentile,27,MN,Republican,NA,1954
2020,32,White non-Hispanic,College or advanced degree,68 to 95 percentile,17,IL,Democrat,NA,1988
2020,62,White non-Hispanic,College or advanced degree,68 to 95 percentile,36,NY,Democrat,NA,1958
2020,48,White non-Hispanic,College or advanced degree,34 to 67 percentile,26,MI,Republican,NA,1972
2020,69,White non-Hispanic,College or advanced degree,17 to 33 percentile,6,CA,Democrat,NA,1951
2020,43,White non-Hispanic,College or advanced degree,68 to 95 percentile,37,NC,Republican,NA,1977
