Voting_Preference,State_Code_FIPS,Year_of_Study,Thermometer_Liberals,Thermometer_Conservatives,Thermometer_Gays_and_Lesbians,Thermometer_Feminists
Democrat,51.0,2020,85.0,30.0,85.0,85.0
Democrat,36.0,2020,80.0,50.0,97.0,65.0
Major Third Party,32.0,2020,70.0,50.0,70.0,70.0
Republican,18.0,2020,30.0,70.0,85.0,60.0
Republican,41.0,2020,50.0,50.0,45.0,45.0
Did not vote,17.0,2020,50.0,50.0,50.0,50.0
Republican,34.0,2020,60.0,50.0,0.0,0.0
Democrat,15.0,2020,95.0,65.0,95.0,97.0
Democrat,6.0,2020,40.0,40.0,97.0,85.0
Democrat,55.0,2020,70.0,15.0,60.0,70.0
Democrat,22.0,2020,60.0,30.0,97.0,97.0
Democrat,12.0,2020,97.0,15.0,97.0,85.0
Republican,41.0,2020,15.0,70.0,40.0,30.0
Democrat,13.0,2020,85.0,40.0,97.0,90.0
Republican,4.0,2020,0.0,97.0,40.0,40.0
Democrat,42.0,2020,50.0,50.0,50.0,30.0
Republican,23.0,2020,0.0,97.0,0.0,0.0
Republican,6.0,2020,0.0,97.0,0.0,14.0
Republican,6.0,2020,0.0,97.0,97.0,15.0
Democrat,48.0,2020,97.0,0.0,97.0,97.0
Democrat,27.0,2020,85.0,30.0,97.0,40.0
Democrat,27.0,2020,65.0,60.0,50.0,60.0
Democrat,34.0,2020,85.0,50.0,97.0,85.0
Democrat,24.0,2020,99.0,60.0,60.0,50.0
Major Third Party,28.0,2020,0.0,0.0,97.0,0.0
Republican,30.0,2020,15.0,85.0,70.0,60.0
Democrat,12.0,2020,85.0,50.0,97.0,97.0
Republican,39.0,2020,0.0,85.0,40.0,15.0
Democrat,17.0,2020,60.0,40.0,50.0,50.0
Democrat,13.0,2020,60.0,40.0,50.0,60.0
Major Third Party,46.0,2020,40.0,40.0,80.0,80.0
Democrat,39.0,2020,50.0,50.0,85.0,70.0
Democrat,8.0,2020,85.0,40.0,70.0,50.0
Republican,6.0,2020,0.0,97.0,40.0,50.0
Republican,54.0,2020,0.0,85.0,0.0,0.0
Republican,53.0,2020,15.0,97.0,97.0,0.0
Republican,37.0,2020,15.0,85.0,45.0,40.0
Democrat,25.0,2020,80.0,20.0,97.0,80.0
Republican,48.0,2020,40.0,85.0,85.0,70.0
Democrat,27.0,2020,85.0,25.0,95.0,97.0
Democrat,37.0,2020,70.0,70.0,85.0,85.0
Republican,8.0,2020,50.0,45.0,50.0,50.0
Did not vote,27.0,2020,60.0,50.0,60.0,60.0
Republican,48.0,2020,13.0,65.0,78.0,45.0
Did not vote,55.0,2020,50.0,50.0,85.0,70.0
Democrat,47.0,2020,97.0,50.0,80.0,97.0
Democrat,21.0,2020,85.0,15.0,85.0,85.0
Democrat,6.0,2020,75.0,20.0,97.0,80.0
Did not vote,9.0,2020,80.0,60.0,80.0,80.0
Democrat,27.0,2020,60.0,60.0,60.0,60.0
Democrat,47.0,2020,85.0,40.0,50.0,85.0
Democrat,17.0,2020,97.0,50.0,97.0,97.0
Republican,39.0,2020,40.0,85.0,50.0,40.0
Republican,42.0,2020,25.0,85.0,50.0,30.0
Democrat,24.0,2020,97.0,0.0,85.0,97.0
Democrat,34.0,2020,70.0,15.0,70.0,70.0
Republican,9.0,2020,0.0,97.0,0.0,0.0
Did not vote,42.0,2020,60.0,15.0,70.0,40.0
Democrat,18.0,2020,40.0,45.0,85.0,70.0
Did not vote,36.0,2020,15.0,85.0,70.0,70.0
Democrat,45.0,2020,60.0,60.0,50.0,50.0
Democrat,6.0,2020,50.0,50.0,70.0,70.0
Democrat,4.0,2020,70.0,15.0,50.0,40.0
Republican,34.0,2020,40.0,97.0,0.0,50.0
Republican,12.0,2020,0.0,97.0,0.0,60.0
Republican,39.0,2020,15.0,60.0,50.0,15.0
Republican,22.0,2020,0.0,97.0,50.0,50.0
Did not vote,28.0,2020,99.0,99.0,99.0,99.0
Democrat,34.0,2020,40.0,70.0,85.0,50.0
Republican,37.0,2020,0.0,50.0,0.0,50.0
Republican,25.0,2020,15.0,85.0,50.0,40.0
Major Third Party,6.0,2020,40.0,50.0,70.0,60.0
